abandons
abases
abashes
abates
abbreviates
abdicates
abducts
abets
abhors
abides
abides
abirritates
abjures
ablates
abnegates
abolishes
abominates
aborts
abounds
about-ships
about-turns
aboutfaces
abrades
abreacts
abridges
abrogates
abscesses
abscises
absconds
abseils
absents
absolves
absorbs
absquatulates
abstains
abstracts
abuses
abuts
abys
accedes
accelerates
accents
accentuates
accepts
accesses
accessions
accessorises
accessorizes
acclaims
acclimates
acclimatises
acclimatizes
accommodates
accompanies
accomplishes
accords
accosts
accounts
accoutres
accredits
accretes
accrues
acculturates
accumulates
accuses
accustoms
aces
acerbates
acetifies
acetylates
aches
achieves
achromatizes
acidifies
acidulates
acierates
acknowledges
acquaints
acquiesces
acquires
acquits
acts
actions
activates
actualises
actualizes
actuates
acuminates
ad-libs
adapts
adds
addicts
addles
addresses
adduces
adducts
adheres
adhibits
adjoins
adjourns
adjudges
adjudicates
adjures
adjusts
adlibs
admeasures
administers
administrates
admires
admits
admixes
admonishes
adopts
adores
adorns
adsorbs
adulates
adulterates
adumbrates
advances
advantages
adventures
adverts
advertises
advertizes
advises
advocates
aerates
aerifies
aestivates
affects
affiances
affiliates
affirms
affixes
afflicts
affords
afforests
affranchises
affrays
affrights
affronts
africanizes
afrikanerizes
ages
agglomerates
agglutinates
aggrades
aggrandizes
aggravates
aggregates
aggresses
aggrieves
agists
agitates
agonises
agonizes
agrees
aids
ails
aims
airs
air-dashes
air-dries
air-kisses
airbrushes
airconditions
aircools
airdashes
airdrops
airdries
airfreights
airkisses
airlifts
airmails
alarms
albumenizes
alchemizes
alcoholizes
alerts
alibis
aliens
alienates
alights
alights
aligns
aliments
alines
alkalifies
alkalizes
allays
alleges
allegorizes
alleviates
alliterates
allocates
allots
allows
allowances
alloys
alludes
allures
allies
alpha-tests
alphabetises
alphabetizes
alphatests
alters
altercates
alternates
aluminizes
amalgamates
amasses
amazes
ambles
ambulates
ambuscades
ambushes
ameliorates
amends
amerces
americanises
americanizes
ammoniates
ammonifies
amnesties
amortises
amortizes
amounts
amplifies
amputates
amuses
anaesthetises
anaesthetizes
anagrammatizes
analogizes
analyses
analyzes
anastomoses
anathematizes
anatomizes
anchors
aneles
anesthetises
anesthetizes
angers
angles
angle-parks
anglicises
anglicizes
anglifies
anguishes
angulates
animadverts
animalizes
animates
ankyloses
anneals
annexes
annihilates
annotates
announces
annoys
annualizes
annuls
annunciates
anodises
anodizes
anoints
anonymises
anonymizes
answers
antagonises
antagonizes
antes
antecedes
antedates
anteverts
anthologises
anthologizes
anthropomorphizes
anticipates
antiquates
antiques
apes
aphorizes
apocopates
apologises
apologizes
apostatizes
apostrophises
apostrophizes
apotheosizes
appals
appals
appeals
appears
appeases
appends
apperceives
appertains
applauds
appliqu_es
applies
appoints
apportions
apposes
appraises
appreciates
apprehends
apprentices
apprises
apprizes
approaches
approbates
appropriates
approves
approximates
aprons
aquaplanes
aquatints
arbitrates
arcs
arches
archaizes
archives
argues
argufies
arises
arms
armours
aromatizes
arouses
arraigns
arranges
arrays
arrests
arrives
arrogates
arses
arterializes
articles
articulates
artificializes
aryanizes
ascends
ascertains
ascribes
asks
asperses
asphalts
asphyxiates
aspirates
aspires
assails
assassinates
assaults
assays
assembles
assents
asserts
assesses
asseverates
assibilates
assigns
assimilates
assists
associates
assoils
assorts
assuages
assumes
assures
asterisks
astonishes
astounds
astricts
atomises
atomizes
atones
atrophies
attaches
attacks
attains
attaints
attempers
attempts
attends
attenuates
attests
attires
attitudinizes
attorns
attracts
attributes
attunes
auctions
auctioneers
audits
auditions
augments
augurs
auscultates
auspicates
australianizes
authenticates
authors
authorises
authorizes
autoclaves
autocompletes
autographs
autolyzes
automates
automatizes
autosaves
autotomizes
avails
avalanches
avenges
avers
averages
averts
aviates
avoids
avouches
avows
awaits
awakes
awakens
awards
awes
axes
azotizes
baas
babbitts
babbles
babies
babysits
backs
back-burners
back-heels
back-pedals
backbites
backburners
backcombs
backcrosses
backdates
backfills
backfires
backhands
backheels
backlights
backlinks
backpacks
backpedals
backslides
backslides
backspaces
backstitches
backstrokes
backtracks
backwashes
backwaters
bad-mouths
badgers
badmouths
baffles
bags
bails
baits
baizes
bakes
baksheeshes
balances
bales
balks
balkanises
balkanizes
balls
ballasts
balloons
ballots
ballses
ballyhoos
ballyrags
bamboozles
bans
bands
bandages
bandies
bangs
banishes
banks
bankrolls
bankrupts
banquets
bants
banters
baptises
baptizes
bars
bar-hops
barbarizes
barbecues
barbers
bards
bares
barfs
bargains
barges
barhops
barks
barnstorms
barracks
barrages
barrels
barrel-rolls
barricades
barters
bases
bashes
basifies
basks
bassets
bastardises
bastardizes
bastes
bastinadoes
bats
batches
bates
batfowls
baths
bathes
battens
batters
battles
battledores
baulks
bawls
bays
bayonets
bcc's
is
beaches
beacons
beads
beagles
beams
beans
bears
bears
beards
beats
beatboxes
beatifies
beautifies
beavers
bechances
beckons
beclouds
becomes
beds
bedaubs
bedazzles
bedecks
bedevils
bedews
bedights
bedims
bedizens
bedraggles
beefs
beeps
beeswaxes
beetles
befalls
befits
befogs
befools
befouls
befriends
befuddles
begs
begets
begets
beggars
begins
begirds
begrimes
begrudges
beguiles
behaves
beheads
beholds
behoves
bejewels
belabours
belays
belches
beleaguers
belies
believes
belittles
bells
bellows
bellies
belly-laughs'
bellyaches
bellylands
belongs
belts
bemeans
bemires
bemoans
bemuses
benames
benches
bench-tests
benchmarks
benchtests
bends
benefices
benefits
benumbs
bequeaths
berates
bereaves
bereaves
berries
berths
beseeches
beseems
besets
beshrews
besieges
besmears
besmirches
bespangles
bespatters
bespeaks
bespreads
besprinkles
bests
besteads
bestializes
bestirs
bestows
bestrews
bestrides
bets
beta-tests
betakes
betatests
bethinks
betides
betokens
betrays
betroths
betters
bewails
bewares
bewilders
bewitches
bewrays
biases
bickers
bicycles
bids
bids
bides
biffs
bifurcates
bigs
big-notes
bights
bikes
bilges
bilks
bills
billets
billows
bimbles
bins
binds
binges
bioassays
biodegrades
birches
birds
bird's-nests
birddogs
birdies
birdlimes
birdies
birls
birrs
births
bisects
bits
bitches
bites
bitmaps
bitters
bituminizes
bivouacs
bivvies
blabs
blabbers
blacks
black-leads
blackballs
blackbirds
blackens
blackguards
blackjacks
blacklegs
blacklists
blackmails
blackmarkets
blackouts
blags
blahs
blames
blanches
blandishes
blanks
blankets
blares
blarneys
blasphemes
blasts
blats
blathers
blazes
blazons
bleaches
blear
bleats
bleeds
bleeps
blemishes
blenches
blends
blents
blesses
blests
blethers
blights
blinds
blindfolds
blindsides
blinks
blips
blisses
blisters
blitzes
bloats
blobs
blocks
blockades
blogs
bloods
bloodies
blooms
bloops
blossoms
blots
blotches
blouses
bloviates
blows
blow-dries
blow-waves
blowdries
blubs
blubbers
bludges
bludgeons
blues
bluepencils
blueprints
bluffs
blunders
blunges
blunts
blurs
blurts
blushes
blusters
boards
boasts
boats
bobs
bobbles
bobols
bobsleighs
bodes
bodges
bodies
bodychecks
bogs
boggles
bogies
boils
bollocks
bolsters
bolts
bombs
bombards
bonds
bones
bongs
bonks
boos
boobs
booby-traps
boobytraps
boodles
boogies
boohoos
books
bookmarks
booms
boomerangs
boondoggles
boosts
boots
bootlegs
bootlicks
boozes
bops
borates
borders
bores
borrows
bosoms
bosses
botanizes
botches
bothers
botoxes
bottles
bottle-feeds
bottlefeeds
bottlenecks
bottoms
boults
bounces
bounds
bows
bowdlerises
bowdlerizes
bowls
bowses
bowwows
boxes
boxhauls
boycotts
braais
brabbles
braces
brachiates
brackets
brags
braids
brails
brailles
brains
brainstorms
brainwashes
braises
brakes
brambles
branches
brands
brandishes
brattices
braves
brawls
brays
brazes
brazens
breaches
breads
breaks
breakaways
breakdances
breakfasts
breams
breasts
breast-feeds
breastfeeds
breathalyses
breathalyzes
breathes
bredes
breeches
breeds
breezes
brevets
brews
breys
bribes
bricks
bridges
bridles
briefs
brigades
brightens
brims
brines
brings
briquettes
bristles
broaches
broadcasts
broadcasts
broadens
broadsides
brocades
broddles
broiders
broils
brokers
bromates
brominates
bronzes
broods
brooks
browbeats
browns
brown-bags
brown-nones
brownbags
brownnones
browses
bruises
bruits
brushes
brutalises
brutalizes
brutifies
bubbles
bucks
buckets
buckles
bucklers
buckrams
buds
buddles
buddies
budges
budgets
buffs
buffalos
buffers
buffets
bugs
buggers
bugles
builds
bulges
bulks
bulls
bulldozes
bulletins
bulletproofs
bullshits
bullwhips
bullies
bullyrags
bulwarks
bums
bumbles
bumps
bump-starts
bumpers
bunches
bundles
bungs
bungles
bunks
bunkers
bunkos
bunny-hops
bunnyhops
bunts
buoys
burs
burbles
burdens
bureaucratizes
burgeons
burglarises
burglarizes
burgles
burkes
burls
burlesques
burns
burns
burnishes
burps
burrows
bursts
burthens
buries
buses
bushes
bushels
bushwhacks
busks
busses
busts
bustles
busies
butchers
butts
butters
buttons
buttonholes
buttresses
buys
buzzes
bypasses
cabals
cabbages
cables
caches
cachinnates
cackles
caddies
caddies
cadges
cages
cagmags
cajoles
cakes
calcifies
calcines
calculates
calendars
calenders
calibrates
calks
calls
callipers
callouses
calluses
calms
calques
calumniates
calves
cambers
camouflages
camps
campaigns
camphorates
cans
canals
canalises
canalizes
cancels
candles
candies
canes
cankers
cannibalises
cannibalizes
cannons
cannonades
cannonballs
cannulates
canoes
canonises
canonizes
canoodles
canopies
cants
canters
cantilevers
cantillates
cantons
canulates
canvasses
caps
capacitates
caparisons
capers
capitalises
capitalizes
capitulates
caponizes
caprioles
capsises
capsizes
capsulizes
captains
captions
captivates
captures
caramelises
caramelizes
caravans
carbolizes
carbonados
carbonates
carbonises
carbonizes
carburets
carburises
carburizes
cards
cares
careens
careers
caresses
caricatures
carillons
carjacks
carks
carnifies
carnies
carols
caroms
carouses
carps
carpenters
carpets
carpet-bombs
carpetbombs
carpools
carries
carts
cartelizes
cartwheels
carves
cascades
cases
caseates
casefies
casehardens
cashes
cashiers
casseroles
casts
castigates
castles
castoffs
castrates
cats
catalogues
catalyses
catalyzes
catapults
catcalls
catches
catechizes
categorises
categorizes
catenates
caters
caterwauls
catfishes
catheterizes
catholicizes
catnaps
caucuses
caulks
causes
cauterises
cauterizes
cautions
caves
caverns
cavils
cavorts
caws
caways
cc's
ceases
cedes
ceils
celebrates
cellars
cements
censes
censors
censures
centralises
centralizes
centres
centrifuges
centuplicates
ceres
cerebrates
certificates
certifies
cesses
chafes
chaffs
chaffers
chagrins
chains
chain-smokes
chain-stitches
chainreacts
chainsmokes
chairs
chalks
challans
challenges
chambers
chamfers
chamoises
champs
champions
chances
chandelles
changes
changeovers
channels
channel-hops
channelhops
channelizes
chants
chaps
chaperones
chapters
chars
characters
characterises
characterizes
charbroils
charcoals
charges
chargesheets
chargrills
charms
charts
charters
chases
chass_es
chass���s
chastens
chastises
chats
chatters
chauffeurs
chaws
cheapens
cheats
checks
checkers
checkmates
checkrows
cheeks
cheeps
cheers
cheeses
chelates
chelps
chemosorbs
chequers
cherishes
cherry-picks
cherrypicks
chevies
chews
chiacks
chicanes
chickens
chides
chills
chillaxes
chimes
chins
chines
chinks
chips
chirms
chirps
chirrs
chirrups
chisels
chitchats
chitters
chivvies
chivvies
chlorinates
chocks
chokes
chomps
chondrifies
chooses
chops
chords
choreographs
chortles
choruses
chows
christens
christianizes
chromakeys
chromes
chronicles
chucks
chuckles
chuffs
chugs
chums
chumps
chunders
chunters
churches
churns
churrs
chutes
chyacks
cicatrizes
cinches
cinchonizes
cinders
cinematographs
ciphers
circles
circuits
circularizes
circulates
circumambulates
circumcises
circumfuses
circumnavigates
circumnutates
circumscribes
circumstantiates
circumvallates
circumvents
cites
cityfies
civilises
civilizes
clacks
clads
claims
clams
clambers
clamours
clamps
clangs
clangours
clanks
claps
claps
clapboards
clapperclaws
clarifies
clarions
clashes
clasps
classes
classicizes
classifies
clatters
clavers
claws
clays
cleans
cleanses
clears
cleats
cleaves
clecks
clefts
clems
clenches
clepes
clerks
clews
clicks
climaxes
climbs
clinches
clings
clinks
clinkers
clips
cloaks
clobbers
clocks
clogs
cloisters
clombs
clomps
clones
clonks
clops
closes
closets
closures
clots
clothes
clothes
clotures
clouds
clouts
clowns
cloys
clubs
clubhauls
clucks
clues
clumps
clunks
clusters
clutches
clutters
clypes
co-authors
co-edits
co-occurs
co-opts
co-stars
coaches
coagulates
coals
coalesces
coarsens
coasts
coats
coauthors
coaxes
cobs
cobbles
cocainizes
cocks
cockers
cockles
cocknifies
cocoons
cods
coddles
codes
codenames
codifies
coedits
coerces
coexists
coextends
coextrudes
coffs
coffers
cofounds
cogs
cogitates
cognizes
cohabits
coheres
cohobates
coifs
coiffures
coils
coins
coincides
coinsures
cokes
colds
cold calls
cold-shoulders
coldshoulders
coldwelds
collaborates
collapses
collars
collates
collects
collectivises
collectivizes
collets
collides
colligates
collimates
collocates
collogues
colludes
collies
colonises
colonizes
colors
colorcodes
colorises
colorizes
colours
comanages
combs
combats
combines
combusts
comes
comforts
commands
commandeers
commeasures
commemorates
commences
commends
comments
commentates
commercialises
commercializes
commingles
comminutes
commiserates
commissions
commits
commixes
commoves
communalizes
communes
communicates
communizes
commutates
commutes
comps
comp`eres
compacts
companions
companies
compares
comparison-shops
comparisonshops
compartmentalises
compartmentalizes
compasses
compels
compensates
comperes
competes
compiles
complains
complects
complements
completes
complicates
compliments
complots
complies
comports
composes
composts
compounds
comprehends
compresses
comprises
compromises
computes
computerises
computerizes
comp���res
cons
concatenates
concaves
conceals
concedes
conceives
concelebrates
concentrates
concentres
conceptualises
conceptualizes
concerns
concertinas
concertizes
conciliates
concludes
concocts
concretes
concretizes
concurs
concusses
condemns
condenses
condescends
conditions
condoles
condones
conduces
conducts
cones
confabs
confabulates
confects
confederates
confers
confesses
confides
configures
confines
confirms
confiscates
conflates
conflicts
conforms
confounds
confronts
confuses
confutes
congas
congeals
congests
conglobates
conglomerates
conglutinates
congratulates
congregates
conjectures
conjoins
conjugates
conjures
conks
cons
connects
connives
connotes
conquers
conscientises
conscientizes
conscripts
consecrates
consents
conserves
considers
consigns
consists
consociates
consoles
consolidates
consorts
conspires
constellates
consternates
constipates
constitutes
constitutionalizes
constrains
constricts
constringes
constructs
construes
consubstantiates
consults
consumes
consummates
contacts
contains
containerizes
contaminates
contangoes
contemns
contemplates
contemporizes
contends
contents
contests
contextualises
contextualizes
continues
contorts
contours
contracts
contradicts
contradistinguishes
contraindicates
contrasts
contravenes
contributes
contrives
controls
controverts
contuses
convalesces
convects
convenes
conventionalizes
converges
converses
converts
convexes
conveys
convicts
convinces
convokes
convolutes
convolves
convoys
convulses
coos
cooccurs
cooeys
cooks
cools
coops
coopers
cooperates
coopts
coordinates
cops
copes
copolymerizes
coppers
copper-bottoms
coppices
coproduces
copulates
copies
copy-edits
copyedits
copyreads
copyrights
coquets
corbels
cords
cordons
cores
corks
corkscrews
corns
corners
cornices
corrades
corrals
corrects
correlates
corresponds
corrivals
corroborates
corrodes
corrugates
corrupts
corsets
coruscates
